,TWII
2008/1/29,7576.42
2008/1/30,7543.5
2008/1/31,7521.13
2008/2/1,7673.99
2008/2/12,7553.3
2008/2/13,7550.55
2008/2/14,7865.28
2008/2/15,7876.37
2008/2/18,7890.9
2008/2/19,8024.41
2008/2/20,7894.47
2008/2/21,8085.93
2008/2/22,8108.71
2008/2/25,8286.31
2008/2/26,8307.67
2008/2/27,8462.08
2008/2/29,8412.76
2008/3/3,8262.87
2008/3/4,8470.11
2008/3/5,8483.95
2008/3/6,8658.64
2008/3/7,8531.38
2008/3/10,8299.37
2008/3/11,8381.6
2008/3/12,8435.3
2008/3/13,8210.99
2008/3/14,8161.39
2008/3/17,8005.46
2008/3/18,8057.82
2008/3/19,8179.35
2008/3/20,8337.62
2008/3/21,8524.99
2008/3/24,8865.35
2008/3/25,8795.09
2008/3/26,8768.02
2008/3/27,8605.95
2008/3/28,8623.48
2008/3/31,8572.59
2008/4/1,8419.72
2008/4/2,8605.32
2008/4/3,8596.34
2008/4/7,8729.79
2008/4/8,8672.85
2008/4/9,8667.93
2008/4/10,8829.4
2008/4/11,8909.58
2008/4/14,8892.68
2008/4/15,8924.78
2008/4/16,9066.04
2008/4/17,9090.43
2008/4/18,9074.34
2008/4/21,9083.32
2008/4/22,9037.25
2008/4/23,9008.49
2008/4/24,8990.33
2008/4/25,8947.83
2008/4/28,9079.6
2008/4/29,8891.74
2008/4/30,8919.92
2008/5/2,8963.63
2008/5/5,8837.07
2008/5/6,8857.37
2008/5/7,8926.34
2008/5/8,8866.62
2008/5/9,8792.39
2008/5/12,8830.05
2008/5/13,8989.53
2008/5/14,9018.42
2008/5/15,9157.18
2008/5/16,9197.41
2008/5/19,9295.2
2008/5/20,9068.89
2008/5/21,9015.57
2008/5/22,9008.03
2008/5/23,8834.73
2008/5/26,8707.83
2008/5/27,8778.39
2008/5/28,8665.73
2008/5/29,8684.92
2008/5/30,8619.08
2008/6/2,8724.47
2008/6/3,8579.43
2008/6/4,8627.8
2008/6/5,8738.46
2008/6/6,8745.35
2008/6/9,8587.96
2008/6/10,8370
2008/6/11,8345.59
2008/6/12,8062.31
2008/6/13,8105.59
2008/6/16,8169.77
2008/6/17,8201.79
2008/6/18,8217.58
2008/6/19,8047.74
2008/6/20,7902.44
2008/6/23,7876.49
2008/6/24,7738.12
2008/6/25,7855.06
2008/6/26,7811.8
2008/6/27,7548.76
2008/6/30,7523.54
2008/7/1,7407.98
2008/7/2,7353.86
2008/7/3,7394.1
2008/7/4,7228.41
2008/7/7,7341.11
2008/7/8,7051.85
2008/7/9,7048.25
2008/7/10,7075.65
2008/7/11,7244.76
2008/7/14,7156.96
2008/7/15,6834.24
2008/7/16,6710.64
2008/7/17,6974.51
2008/7/18,6815.32
2008/7/21,7085.67
2008/7/22,7065.65
2008/7/23,7309.83
2008/7/24,7368.08
2008/7/25,7233.62
2008/7/29,7014.47
2008/7/30,7070.35
2008/7/31,7024.06
2008/8/1,7002.54
2008/8/4,6977.36
2008/8/5,6813.4
2008/8/6,7026.24
2008/8/7,7024.58
2008/8/8,7209.04
2008/8/11,7325.62
2008/8/12,7293.8
2008/8/13,7292.34
2008/8/14,7326.07
2008/8/15,7196.5
2008/8/18,7000.74
2008/8/19,6978.6
2008/8/20,7040.9
2008/8/21,6918.48
2008/8/22,6911.64
2008/8/25,7030.72
2008/8/26,6964.6
2008/8/27,7080.97
2008/8/28,7033.37
2008/8/29,7046.11
2008/9/1,6813.09
2008/9/2,6699.82
2008/9/3,6584.93
2008/9/4,6412.63
2008/9/5,6307.28
2008/9/8,6658.69
2008/9/9,6424.77
2008/9/10,6458.01
2008/9/11,6251.95
2008/9/12,6310.68
2008/9/15,6052.45
2008/9/16,5756.59
2008/9/17,5800.87
2008/9/18,5641.95
2008/9/19,5970.38
2008/9/22,6110.6
