,1216 統一,1216 統一_p-value,1301 台塑,1301 台塑_p-value,1303 南亞,1303 南亞_p-value,1326 台化,1326 台化_p-value,1402 遠東新,1402 遠東新_p-value,2002 中鋼,2002 中鋼_p-value,2603 長榮,2603 長榮_p-value,2801 彰銀,2801 彰銀_p-value,2880 華南金,2880 華南金_p-value,2881 富邦金,2881 富邦金_p-value,2882 國泰金,2882 國泰金_p-value,2883 開發金,2883 開發金_p-value,2884 玉山金,2884 玉山金_p-value,2886 兆豐金,2886 兆豐金_p-value,2887 台新金,2887 台新金_p-value,2888 新光金,2888 新光金_p-value,2890 永豐金,2890 永豐金_p-value,2891 中信金,2891 中信金_p-value,2892 第一金,2892 第一金_p-value,9904 寶成,9904 寶成_p-value,6505 台塑化,6505 台塑化_p-value,2303 聯電,2303 聯電_p-value,2330 台積電,2330 台積電_p-value,2408 南亞科,2408 南亞科_p-value,2454 聯發科,2454 聯發科_p-value,3034 聯詠,3034 聯詠_p-value,2301 光寶科,2301 光寶科_p-value,2324 仁寶,2324 仁寶_p-value,2353 宏碁,2353 宏碁_p-value,2357 華碩,2357 華碩_p-value,2382 廣達,2382 廣達_p-value,2409 友達,2409 友達_p-value,2475 華映,2475 華映_p-value,3008 大立光,3008 大立光_p-value,2412 中華電,2412 中華電_p-value,2498 宏達電,2498 宏達電_p-value,3045 台灣大,3045 台灣大_p-value,4904 遠傳,4904 遠傳_p-value,2308 台達電,2308 台達電_p-value,2317 鴻海,2317 鴻海_p-value,2354 鴻準,2354 鴻準_p-value,2474 可成,2474 可成_p-value,1101 台泥,1101 台泥_p-value,1102 亞泥,1102 亞泥_p-value,1314 中石化,1314 中石化_p-value,1434 福懋,1434 福懋_p-value,1503 士電,1503 士電_p-value,1504 東元,1504 東元_p-value,1560 中砂,1560 中砂_p-value,2371 大同,2371 大同_p-value,6605 帝寶,6605 帝寶_p-value,1605 華新,1605 華新_p-value,1802 台玻,1802 台玻_p-value,1907 永豐餘,1907 永豐餘_p-value,2006 東和鋼鐵,2006 東和鋼鐵_p-value,2014 中鴻,2014 中鴻_p-value,2015 豐興,2015 豐興_p-value,2023 燁輝,2023 燁輝_p-value,2105 正新,2105 正新_p-value,2201 裕隆,2201 裕隆_p-value,2204 中華,2204 中華_p-value,2207 和泰車,2207 和泰車_p-value,2501 國建,2501 國建_p-value,2504 國產,2504 國產_p-value,2605 新興,2605 新興_p-value,2606 裕民,2606 裕民_p-value,2607 榮運,2607 榮運_p-value,2609 陽明,2609 陽明_p-value,2610 華航,2610 華航_p-value,2615 萬海,2615 萬海_p-value,2618 長榮航,2618 長榮航_p-value,2707 晶華,2707 晶華_p-value,2820 華票,2820 華票_p-value,2834 臺企銀,2834 臺企銀_p-value,2838 聯邦銀,2838 聯邦銀_p-value,2845 遠東銀,2845 遠東銀_p-value,2855 統一證,2855 統一證_p-value,2885 元大金,2885 元大金_p-value,2889 國票金,2889 國票金_p-value,6005 群益證,6005 群益證_p-value,2903 遠百,2903 遠百_p-value,2912 統一超,2912 統一超_p-value,9917 中保,9917 中保_p-value,9921 巨大,9921 巨大_p-value,9945 潤泰新,9945 潤泰新_p-value,1710 東聯,1710 東聯_p-value,1717 長興,1717 長興_p-value,1722 台肥,1722 台肥_p-value,1736 喬山,1736 喬山_p-value,2337 旺宏,2337 旺宏_p-value,2342 茂矽,2342 茂矽_p-value,2344 華邦電,2344 華邦電_p-value,2363 矽統,2363 矽統_p-value,2379 瑞昱,2379 瑞昱_p-value,2388 威盛,2388 威盛_p-value,2401 凌陽,2401 凌陽_p-value,2449 京元電子,2449 京元電子_p-value,2451 創見,2451 創見_p-value,3035 智原,3035 智原_p-value,3189 景碩,3189 景碩_p-value,6239 力成,6239 力成_p-value,2331 精英,2331 精英_p-value,2352 佳世達,2352 佳世達_p-value,2356 英業達,2356 英業達_p-value,2376 技嘉,2376 技嘉_p-value,2377 微星,2377 微星_p-value,2395 研華,2395 研華_p-value,3231 緯創,3231 緯創_p-value,2323 中環,2323 中環_p-value,2349 錸德,2349 錸德_p-value,2393 億光,2393 億光_p-value,2448 晶電,2448 晶電_p-value,3019 亞光,3019 亞光_p-value,6116 彩晶,6116 彩晶_p-value,2332 友訊,2332 友訊_p-value,3311 閎暉,3311 閎暉_p-value,2313 華通,2313 華通_p-value,2327 國巨,2327 國巨_p-value,2328 廣宇,2328 廣宇_p-value,2385 群光,2385 群光_p-value,2392 正崴,2392 正崴_p-value,3037 欣興,3037 欣興_p-value,3044 健鼎,3044 健鼎_p-value,2347 聯強,2347 聯強_p-value,2312 金寶,2312 金寶_p-value
a0,0.22440708324322853,,0.1478275111307176,,0.1758387824243294,,0.18843871139053098,,0.07219519591516715,,0.06551968622418644,,0.15937342411964361,,0.09283252018905747,,0.11531154341402702,,0.18952990674282313,,0.16848816093680857,,0.2184546471396042,,0.18042282097230514,,0.108477860617067,,0.12480642481890883,,0.09870181990934415,,0.12113211084543618,,0.1722647730173586,,0.12651328884606866,,0.06601169549940206,,0.07951086527920308,,0.001492694734817307,,0.20222554612020538,,0.07666045085830861,,0.019583162679074048,,0.12595681012804893,,0.1203717862737795,,-0.10503896362074341,,-0.022718453698728457,,0.07567127514168678,,-0.025314627844855442,,0.03383980807886898,,0.024300152396738772,,0.6131485584474478,,0.09411774674237355,,-0.3078076818709434,,0.14567724965024095,,0.141394635591498,,0.24649172806723096,,0.04939049543089227,,0.17840791452489607,,0.3075706917460054,,0.10585955222559565,,0.05793682725584633,,0.07645211137906759,,0.031856896637089,,0.030936196689879094,,0.19750766628434385,,0.06608334115199736,,0.03192630365325353,,0.13322441194469842,,0.23979875972950257,,0.11003477027355558,,0.018266131061552844,,0.06621375593213194,,-0.10346854395653529,,0.07753981638828733,,-0.05748627748970652,,0.01665048722614093,,-0.10835726036955327,,0.022472793005135827,,0.13984702937903162,,0.11325070516772331,,-0.004881534140870062,,0.00732871836512642,,0.05193533550159609,,-0.06625943717274639,,-0.055656929516258474,,-0.004004696117560318,,0.0473523330024354,,-0.002806577870230766,,-0.09378819834601579,,0.11061158570854308,,0.0666044966829423,,0.10209241378516279,,0.06195522111195261,,0.06170381216274014,,0.03817264639609811,,0.10016899849415634,,0.05065590453887481,,0.07500424009678479,,0.25242813277321235,,0.1380424197677463,,0.1996438628344428,,0.020834323152458964,,0.16088293994723954,,0.05258528235811505,,-0.0977363178905301,,-0.07667991236700729,,-0.1429911842032669,,-0.27246502018449736,,0.20970357814505636,,-0.21482709224984795,,0.07702057714837446,,0.012636870030562436,,0.01957144326102786,,0.14962827981578086,,0.009445957603726997,,0.016350319722805085,,0.05223680837931207,,0.09354947356364327,,0.18120200237597778,,0.25847722710453924,,-0.03332349090200583,,0.09571282526674646,,0.05721844912041468,,0.21782416185439815,,0.021362842140247376,,-0.13234120511684982,,-0.1678153047698761,,-0.06285360514476605,,-0.08211268581021151,,-0.18059961110612374,,0.06848643207553211,,-0.027858117433613255,,-0.2737522524026296,,0.1902536273013516,,-0.006527169568509517,,-0.22194978892367226,,-0.04711724546186366,,-0.08943162273743027,,0.03524792174355917,,0.08978391963054558,,-0.013813669104637188,,0.056012814998495176,
a1,-0.8546616007168565,0.0,-0.3058093549350778,0.000109,-0.780027561504428,0.0,-0.7707652035813558,0.0,0.07549562564690361,0.572356,-0.235063749852658,2.4e-05,-1.027804351365106,0.0,-0.7504062799844863,0.0,-0.9937225803383973,0.0,-0.7579931287112909,0.0,-1.1910805983372972,0.0,-1.714810735512222,0.0,-1.0115052196831145,0.0,-0.3679389730699049,0.0,-0.5068869177805794,0.0,-1.23660037853885,0.0,-0.5649554005259845,0.0,-0.7488932748128889,0.0,-0.7843936037133508,0.0,0.3034138037059905,1.8e-05,0.3199224043659945,0.545851,0.020928161305708504,0.382915,-1.1754250941756867,0.0,-1.2273993254548277,0.0,0.15168225087034246,0.090172,-0.6305269995575349,0.0,-0.8597803966791018,0.0,1.0773914981940989,0.0,-0.12274539397795699,0.571835,-0.3844865642847882,1.8e-05,1.3318678504532884,0.0,-1.0427103178596528,0.0,-0.8356636226509657,0.0,-2.787673779374799,0.0,0.0974353482988808,0.230099,0.9961476187296493,0.0,-0.09551274701330414,0.284028,-0.5695250652447273,0.0,-1.5926001986352807,0.0,-0.0771142378251368,0.7648,-1.255786560370349,0.0,-1.5133864047176373,0.0,-0.41570576506942825,0.0,0.05374003190089285,0.01339,0.3278116864911898,0.211412,0.48200891457304,0.0,0.348433347021907,0.0,-0.9937266420925616,0.0,-0.14824715562909876,0.0,-0.33357321502910975,0.0,-0.9647760304308719,0.0,-1.6465841822504497,0.0,-0.8943989441719763,0.0,0.08882904053984851,0.001194,-0.21937609551746726,0.000646,0.5599083323428308,0.0,0.16037775843648083,0.001846,1.4401801204448579,0.0,1.2765490011899017,0.0,0.7159277129174332,0.0,-0.020606356517466697,0.868912,0.18322261216349045,0.007671,-0.8482308537050018,0.0,-0.07666649192074886,0.307225,0.028770613012635556,0.404464,-0.09944758135215029,0.164041,0.7589979532805546,0.0,-0.24537892705673117,0.052218,-0.2576880917756643,0.000284,-0.08375255386762571,0.510698,0.14726952791019213,0.787605,1.123848569207406,0.0,0.020200024628627522,0.607967,-0.5372044866342923,0.0,-1.4241561051903957,0.0,-0.58258410217586,0.0,0.011807439605536535,0.295898,-0.007503476670845819,0.171995,-0.2595801956429152,0.0,0.008958629822656142,0.818547,-0.1161836545222158,0.014553,-1.2302234889039774,0.0,-0.9132894934008999,0.0,-0.5520161916383549,0.0,0.9085336124741749,0.0,-0.33048070369387483,0.0,-0.17767323407347263,0.061196,0.872441694279169,0.0,0.12460267836837886,0.058817,1.4583569795822175,0.0,0.3784136724794484,0.002722,-0.9001269104038774,0.0,0.9344073223558601,0.0,-0.10432011104662671,0.46949,-0.6124129713022202,0.0,-0.5870592797560126,0.0,-0.5810222143111393,0.0,0.514449844014791,0.0,0.10518390346364057,0.791754,-0.3862167714288491,2e-05,-0.30544269421213044,0.006711,-0.7901136078426776,0.0,-1.4895881176761636,0.0,1.0180913965218004,0.0,0.5286376195387887,0.0,0.5936888084805666,0.0,-1.06713978342506,0.0,0.27477484380555045,0.000347,0.6057544079585278,0.0,1.0087945619525582,0.0,0.5162608962839138,5.1e-05,0.23664248870518925,0.000164,1.0185905732856695,0.0,-0.2370290362792372,0.000231,-0.10040832348937921,0.181148,1.1855491710980264,0.0,-0.6339657538462112,0.0,1.9373837938050809,0.0,1.0446375164552022,0.0,1.7035521305546393,0.0,0.12872515630416145,7e-06,-0.5657529309936287,0.0,-0.2631912247288878,0.003083,1.0187036744584255,0.0,0.08298324660826951,0.0
a2,-0.11025464356260987,0.0,-0.10865741959083179,0.0,-0.08977420195649294,0.0,-0.1103130372425166,0.0,-0.10502548828897329,0.0,-0.0660511470054979,0.0,-0.07350824194805276,0.0,-0.10605439996483822,0.0,-0.06146532598657904,0.0,-0.03965964823184342,4e-06,-0.14177967545490092,0.0,-0.06283640517594799,0.0,-0.06472602130531077,2.5e-05,-0.09129803528758314,0.0,-0.05409990227390161,0.000129,-0.1514199469943816,0.0,-0.10533900603577913,0.0,-0.07443836971557995,1e-06,-0.16067466007253467,0.0,-0.0821261306821505,0.0,0.012575819816182877,0.000734,-0.12367706908457754,0.0,0.00793551648945371,0.0,-0.23684747523439384,0.0,0.023683899964489788,0.074899,0.04336153555345522,0.016528,-0.12590295009311755,0.0,-0.050646979537134526,0.0,-0.06446098551454615,0.0,-0.22660585620881707,0.0,0.0028038010982078306,0.332122,-0.11755475702824127,0.0,-0.16534290321769715,0.0,0.07828062757730016,0.00015,-8.965821907055037e-05,0.988205,-0.17288523383991286,0.0,-0.05454232636112226,0.0,-0.01336215770293624,0.085399,-0.1825508067203619,0.0,-0.1153981103624026,0.0,0.018295865559569545,1e-06,-0.07650838951448814,0.0015,-0.0306380518058218,0.01285,0.024789628872146693,0.000903,-0.1863320493318413,0.0,-0.10876280749430026,0.0,0.008563202165688623,0.028059,-0.010519204253036525,0.563077,-0.26803370916005764,0.0,-0.10149220796853275,0.0,-0.1093461330407855,0.0,-0.2216017482191298,0.0,0.010593785044448172,0.02815,-0.10049540719816036,0.0,-0.13046620074514984,0.0,-0.16469955581502116,0.0,-0.10593618482693304,0.0,-0.11642274806295574,0.0,-0.04005187334453015,4.1e-05,-0.1090697421570039,0.0,-0.18073399700150036,0.0,-0.039769045787186756,2.2e-05,-0.11758676594710145,0.0,0.006030326338967787,0.901337,0.043500163608645295,0.0,-0.04134703197469932,2.7e-05,0.01568184647745536,0.354789,0.00424762189583544,0.250914,-0.1051671169697569,0.0,-0.11801214078440148,0.0,-0.1953658928839617,0.0,-0.05174771477758227,0.0,-0.01264289223932934,0.263862,-0.06537593908752436,0.0,0.09956950697468218,0.0,-0.016621868267475432,0.4796,-0.13567397616857638,0.0,-0.14893081491879184,0.0,-0.09722965067175916,0.0,-0.17167578138710896,0.0,-0.18132471763027191,0.0,-0.03425294636683792,0.000465,-0.0010162920380482525,0.411769,-0.01853262042948218,0.066782,-0.023392749860686422,0.000293,-0.09778474716483682,0.0,-0.07343657925216396,0.0,-0.13011256046521777,0.0,-0.15481143234613,0.0,-0.15498869901684817,0.0,-0.07996389728922082,0.00102,-0.0464185159202705,0.010494,0.0018647881335743233,0.595157,0.14372720689565846,0.0,-0.10579939737297239,0.0,-0.05810183374311737,0.000545,-0.05793998277029245,0.0,-0.11772305916431704,0.0,-0.15037191598333205,0.0,0.0043787607951365996,0.531736,-0.05624633652017531,2e-06,-0.10605348035477902,0.0,-0.13606412945969554,0.0,-0.16289650971581757,0.0,-0.02331169280684225,0.047497,-0.05960850122483865,0.000244,-0.0441785451935385,0.001489,-0.05428562118796857,6e-06,0.09176030522095639,0.0,-0.145188568158059,0.0,-0.1267412629476181,0.0,-0.18948752769862026,0.0,-0.0855457418254737,0.0,-0.05832486702104328,0.003038,-0.17558985427379545,0.0,-0.00816707537438703,0.92476,-0.06030185576362895,1.2e-05,0.02894460043140249,0.006178,-0.05846018730277042,1e-06,0.04476981344379423,0.0,0.0364113083132863,0.00021,-0.030079896250617317,0.119103,0.016667058746248534,0.239181,-0.07890943840891093,0.0,-0.009280678663290721,0.633696
a3,-0.006701259145830525,0.001062,0.0029012083475619056,0.039053,0.009916710186647297,0.0,-0.006700384583747538,0.011928,0.03154000325744634,0.01934,0.008276998707787394,0.002027,0.044118916001879886,0.0,-0.028261882676512282,0.05872,-0.023402587115701052,0.696675,0.016499431563908394,0.0,-0.0022839127362204083,1e-06,0.028445380140411772,0.0,0.020215570251937962,0.0,0.009178439416430132,0.404821,0.042117577489323904,0.0,0.028074815142489277,0.0,0.05272738243162825,0.0,0.044992822909185416,0.0,-0.026057471206225,0.627032,0.010955996485366793,0.67005,0.029453209654808483,0.0,0.01094319606069537,0.00038,-0.07707640161476434,0.0,-0.09315202543055003,0.000781,-0.005262655869903018,0.373139,-0.02139242114411017,0.32812,-0.024823163994798992,0.442919,0.004809365558774836,0.0,0.001357204996483054,0.503806,-0.034422457295403316,0.074111,0.06700130872254406,1.8e-05,-0.058666908547382664,0.037201,0.05426897798046849,0.0,-0.03850721029016748,0.000765,-2.320248559430657e-05,0.84006,0.0025477771436113548,0.001022,0.006046290714528303,0.416594,0.010179089605067837,1e-06,-0.0008552983812189509,0.0,-0.01999464944778644,0.111289,0.037821090177680664,0.0,-0.06138627699933859,0.149528,-0.06470730633870778,0.0,-0.059037338556829785,0.0,0.09023836034782352,0.0,-0.030082939770253694,0.000158,0.0008726158692315448,0.355137,-0.003097328176934512,0.000336,0.0770875027888585,0.0,0.022238390294447595,0.0,-0.020130020728457685,0.368734,-0.04698926962774602,0.000406,-0.025283866609924297,0.720455,-0.025263278451878948,0.0,-0.004395726434685744,0.361213,-0.023333208638784703,0.0,-0.018141162208770722,2e-06,0.044347495475509924,0.807245,-0.005836321789680654,0.0,0.03316005468384238,0.01949,-0.017270293958638855,5.4e-05,-0.011239961176930695,0.022896,-0.02434902265268721,0.005666,-0.025802507947874125,0.0,0.00876802810647787,0.003116,-0.047399383365719104,0.0,0.03475149629931855,0.017783,-0.020660263463479704,0.035657,0.02705779197763532,0.0,-0.020829820888289996,0.000142,0.05387546304756063,0.0,0.01173029966083154,0.025844,0.010081740372698924,0.044649,-0.013665336847101108,0.189751,-0.017473835185958336,0.001807,0.0001924772624819484,0.001142,0.03728642005818743,8e-06,0.019271674984523292,0.0,0.020160785804941034,0.10087,0.027623400906827997,0.078052,0.030287290717258764,0.0,-0.0067625559933595265,0.111947,-0.007105134321737585,0.043964,0.0195392442739661,0.0,0.10229743323076661,0.0,0.039077502915612246,0.0,-0.023112254681059898,0.019777,0.018114918595640527,0.115577,0.0025853658724289035,0.007088,0.0343516548938271,0.002772,0.03607801752819957,0.355693,-0.03521338634968339,0.664132,0.07528106597490117,6e-06,-0.05412030075700486,0.000801,0.03296718029077517,0.0,-0.0034821470899308515,0.372147,0.02816888187825981,5e-06,-0.003974537299534465,0.0,0.03186129169198037,1.6e-05,-0.013420916562945672,0.567025,-0.01563641502251058,0.845545,0.01772648043834124,0.0,-0.05283777570275278,0.003389,0.018660827799097963,1e-06,0.0423190461491096,0.009823,-0.07792434752075293,0.0,-0.0435079758570959,2.1e-05,0.01176952482734616,0.577617,0.03508771620844652,6e-05,0.052948186894584574,0.993325,0.043087997973071036,0.253317,0.014589633234437347,0.516463,0.03562434491403911,0.304322,0.03697059742053812,5.7e-05,0.03014600556726672,0.001953,0.020297556682359733,0.024673,-0.03495312784025632,0.173821,0.122816059571053,0.001391,0.039780085190831135,0.121483,0.0014913906083003942,0.0,-0.05477243460020563,0.0,-0.029749631077600206,0.59442,0.001853058838955928,0.343585,0.038749368197311215,0.717419,0.11859361753741544,0.0
MSE,0.02143968865638812,,0.05566065494654433,,0.06534632060558722,,0.05786315755569689,,0.06210886712177442,,0.04801858987324527,,0.05535895339287403,,0.03623145125009685,,0.013918622283595174,,0.04180404552849322,,0.06513674637882076,,0.04723879170185487,,0.05663172721679392,,0.03786317438695241,,0.10300228938459062,,0.07666151401107704,,0.055109654946423565,,0.045566231063254525,,0.029332223160830912,,0.04468964035225716,,0.026902339962827503,,0.056742317723683905,,0.014454681307140274,,0.4357053163698826,,0.113198720058112,,0.12236378790747622,,0.07695361136438703,,0.0574867751153546,,0.12488359702532893,,0.04994505730368269,,0.03958599467960237,,0.0945807697082575,,0.2963164262534098,,0.11328620893397125,,0.007627858029008061,,0.19737946378802984,,0.014329015953735197,,0.02172653712687668,,0.07046665032286847,,0.0923648591677698,,0.11080993186368288,,0.15621256562055538,,0.07178233127604135,,0.061592635824721055,,0.17319051555207818,,0.049461733376345726,,0.010256463168897587,,0.053375569167473706,,0.17178443360628348,,0.21963225010290005,,0.08030530563760101,,0.10183808388600969,,0.09571639934949037,,0.03753286109881957,,0.06619538203647529,,0.0865372890520449,,0.05329680564229203,,0.022110348361667788,,0.0808415397650164,,0.10698073895711258,,0.07932007976368576,,0.08344868194718577,,0.07558568706842848,,0.05291432442668008,,0.06653782961731153,,0.10988815115489142,,0.04231551732293493,,0.11271963332345933,,0.0841558644533147,,0.07869476513801445,,0.0801617074297357,,0.03562008868085575,,0.04040634555586427,,0.02700258079797033,,0.016961829308878146,,0.06763013177308931,,0.049729631025564,,0.04348558968896246,,0.045807676695108074,,0.06306516953393168,,0.137450819330467,,0.02924652526541119,,0.0070857652523261825,,0.0463708074671147,,0.1087585928011197,,0.1087278753349799,,0.06646605945209132,,0.06365042081086043,,0.21220314998494821,,0.25123167303229693,,0.39472849096088897,,0.20394399578883615,,0.1266273503961618,,0.15284983842912236,,0.28016460423804707,,0.16069773029558518,,0.08353926934066953,,0.06234687577036018,,0.15098232615424131,,0.12923326120468318,,0.08042377467435861,,0.1319486375122053,,0.2188443672040715,,0.0912175108891793,,0.07510389349206707,,0.12980736709217022,,0.05835045263949715,,0.09406714920857889,,0.08423989032654366,,0.09856271259391937,,0.10114088130388876,,0.20944172653916404,,0.20828629715149405,,0.32665699727781566,,0.12905278348926666,,0.06835839067967618,,0.12266353562125071,,0.2603450821295446,,0.1659518283346054,,0.056698612048005546,,0.04517878029949901,,0.13983295266781318,,0.14380330440971192,,0.10355107793210717,,0.05915215716385652,
