,1216 統一,1216 統一_p-value,1301 台塑,1301 台塑_p-value,1303 南亞,1303 南亞_p-value,1326 台化,1326 台化_p-value,1402 遠東新,1402 遠東新_p-value,2002 中鋼,2002 中鋼_p-value,2603 長榮,2603 長榮_p-value,2801 彰銀,2801 彰銀_p-value,2880 華南金,2880 華南金_p-value,2881 富邦金,2881 富邦金_p-value,2882 國泰金,2882 國泰金_p-value,2883 開發金,2883 開發金_p-value,2884 玉山金,2884 玉山金_p-value,2886 兆豐金,2886 兆豐金_p-value,2887 台新金,2887 台新金_p-value,2888 新光金,2888 新光金_p-value,2890 永豐金,2890 永豐金_p-value,2891 中信金,2891 中信金_p-value,2892 第一金,2892 第一金_p-value,9904 寶成,9904 寶成_p-value,6505 台塑化,6505 台塑化_p-value,2303 聯電,2303 聯電_p-value,2330 台積電,2330 台積電_p-value,2408 南亞科,2408 南亞科_p-value,2454 聯發科,2454 聯發科_p-value,3034 聯詠,3034 聯詠_p-value,2301 光寶科,2301 光寶科_p-value,2324 仁寶,2324 仁寶_p-value,2353 宏碁,2353 宏碁_p-value,2357 華碩,2357 華碩_p-value,2382 廣達,2382 廣達_p-value,2409 友達,2409 友達_p-value,2475 華映,2475 華映_p-value,3008 大立光,3008 大立光_p-value,2412 中華電,2412 中華電_p-value,2498 宏達電,2498 宏達電_p-value,3045 台灣大,3045 台灣大_p-value,4904 遠傳,4904 遠傳_p-value,2308 台達電,2308 台達電_p-value,2317 鴻海,2317 鴻海_p-value,2354 鴻準,2354 鴻準_p-value,2474 可成,2474 可成_p-value,1101 台泥,1101 台泥_p-value,1102 亞泥,1102 亞泥_p-value,1314 中石化,1314 中石化_p-value,1434 福懋,1434 福懋_p-value,1503 士電,1503 士電_p-value,1504 東元,1504 東元_p-value,1560 中砂,1560 中砂_p-value,2371 大同,2371 大同_p-value,6605 帝寶,6605 帝寶_p-value,1605 華新,1605 華新_p-value,1802 台玻,1802 台玻_p-value,1907 永豐餘,1907 永豐餘_p-value,2006 東和鋼鐵,2006 東和鋼鐵_p-value,2014 中鴻,2014 中鴻_p-value,2015 豐興,2015 豐興_p-value,2023 燁輝,2023 燁輝_p-value,2105 正新,2105 正新_p-value,2201 裕隆,2201 裕隆_p-value,2204 中華,2204 中華_p-value,2207 和泰車,2207 和泰車_p-value,2501 國建,2501 國建_p-value,2504 國產,2504 國產_p-value,2605 新興,2605 新興_p-value,2606 裕民,2606 裕民_p-value,2607 榮運,2607 榮運_p-value,2609 陽明,2609 陽明_p-value,2610 華航,2610 華航_p-value,2615 萬海,2615 萬海_p-value,2618 長榮航,2618 長榮航_p-value,2707 晶華,2707 晶華_p-value,2820 華票,2820 華票_p-value,2834 臺企銀,2834 臺企銀_p-value,2838 聯邦銀,2838 聯邦銀_p-value,2845 遠東銀,2845 遠東銀_p-value,2855 統一證,2855 統一證_p-value,2885 元大金,2885 元大金_p-value,2889 國票金,2889 國票金_p-value,6005 群益證,6005 群益證_p-value,2903 遠百,2903 遠百_p-value,2912 統一超,2912 統一超_p-value,9917 中保,9917 中保_p-value,9921 巨大,9921 巨大_p-value,9945 潤泰新,9945 潤泰新_p-value,1710 東聯,1710 東聯_p-value,1717 長興,1717 長興_p-value,1722 台肥,1722 台肥_p-value,1736 喬山,1736 喬山_p-value,2337 旺宏,2337 旺宏_p-value,2342 茂矽,2342 茂矽_p-value,2344 華邦電,2344 華邦電_p-value,2363 矽統,2363 矽統_p-value,2379 瑞昱,2379 瑞昱_p-value,2388 威盛,2388 威盛_p-value,2401 凌陽,2401 凌陽_p-value,2449 京元電子,2449 京元電子_p-value,2451 創見,2451 創見_p-value,3035 智原,3035 智原_p-value,3189 景碩,3189 景碩_p-value,6239 力成,6239 力成_p-value,2331 精英,2331 精英_p-value,2352 佳世達,2352 佳世達_p-value,2356 英業達,2356 英業達_p-value,2376 技嘉,2376 技嘉_p-value,2377 微星,2377 微星_p-value,2395 研華,2395 研華_p-value,3231 緯創,3231 緯創_p-value,2323 中環,2323 中環_p-value,2349 錸德,2349 錸德_p-value,2393 億光,2393 億光_p-value,2448 晶電,2448 晶電_p-value,3019 亞光,3019 亞光_p-value,6116 彩晶,6116 彩晶_p-value,2332 友訊,2332 友訊_p-value,3311 閎暉,3311 閎暉_p-value,2313 華通,2313 華通_p-value,2327 國巨,2327 國巨_p-value,2328 廣宇,2328 廣宇_p-value,2385 群光,2385 群光_p-value,2392 正崴,2392 正崴_p-value,3037 欣興,3037 欣興_p-value,3044 健鼎,3044 健鼎_p-value,2347 聯強,2347 聯強_p-value,2312 金寶,2312 金寶_p-value
a0,0.22618094687139373,,0.12661196840314307,,0.15176138414164875,,0.1604672153874046,,0.048589680823026185,,0.0727142326041465,,0.19158979031451204,,0.07004778206960198,,0.12350210487450397,,0.1795237567286816,,0.13598764866484067,,0.20839629726137088,,0.18947213533099722,,0.11874475093925069,,0.07988110677471347,,0.09417512539994786,,0.11842743304960293,,0.1742461801174461,,0.1287465930193277,,0.07615609018934451,,0.09372671288183447,,0.00892163179245287,,0.19431781509863774,,0.11326844183461934,,-0.0023952521055480985,,0.10317569732177065,,0.07831050809198366,,-0.13242935945625744,,-0.06978404375406554,,0.03465274932870727,,-0.04387303238690135,,0.05656859328986015,,-0.006626609628179597,,0.6497529622416763,,0.09633246943935161,,-0.4602380805687135,,0.1649455147292626,,0.14651229594177945,,0.24860442629013113,,0.022011559266423494,,0.17742321189981425,,0.29039247252632155,,0.09029499524632797,,0.0724481436052149,,0.06817269456023853,,0.04234577759945271,,0.03566607984151761,,0.18054063531956405,,0.06874516812070351,,0.05308976498041171,,0.13019726288993225,,0.23835364538563367,,0.13686042350048655,,0.01942387820377664,,0.09673462696077559,,-0.08686270338822244,,0.07590892693829214,,-0.05023056013829607,,0.051429480018839,,-0.12005672856559198,,0.05317519899246454,,0.21475363626690147,,0.10375690076486131,,-0.015431708249505483,,0.000671472358026207,,0.04606332091679978,,-0.07732605921524649,,-0.08897579910421044,,-0.04633932644216543,,0.042342188819072306,,-0.05761686405103223,,-0.11981130841214518,,0.11230855158457077,,0.07676645324908601,,0.10334493114144833,,0.05087901648249308,,0.04265177966093853,,0.0646478301991219,,0.09429118977764887,,0.055216177349474774,,0.015148322108878627,,0.227959859504128,,0.14453263440303232,,0.2065436403522258,,-0.005744816079848419,,0.13609260896567008,,0.04647003711102597,,-0.11937860551493502,,-0.017584147557200475,,-0.22291375657391332,,-0.23516189916738026,,0.19079869981162748,,-0.2267610470856642,,0.12017149220535116,,-0.1030445663664165,,0.004280380849740487,,0.1277400061211874,,0.007306535061205904,,-0.006275652494090754,,0.04052277579683584,,0.06659958834557014,,0.17960442933888005,,0.25246200912941835,,-0.09712725762307953,,0.06746148544324673,,-0.0007976930136291971,,0.21828564632474198,,-0.0023549622373685575,,-0.0711377134571897,,-0.21361017389895207,,-0.06772440731342694,,-0.07069499587638683,,-0.27794241359847316,,-0.0951492193783912,,-0.05324382200027805,,-0.3182980003199927,,0.1528668749312862,,-0.047159869929618486,,-0.2560793723292824,,-0.04113307500668156,,-0.18960191747740127,,0.024068898175993378,,0.06315188061995855,,-0.017382708898099744,,-0.004486346544713839,
a1,-0.804560985695056,0.0,-0.1925553540895027,1.6e-05,-0.31898390197406623,0.0,-0.48336342507399455,0.0,0.04377013847113859,0.700471,-0.38327932172556056,0.0,-1.0563896324476636,0.0,-0.5373725364236824,0.0,-0.8703076749834915,0.0,-0.4897767197150754,0.0,-0.9801521710393135,0.0,-1.4213548599424315,0.0,-0.8934530364056693,0.0,-0.4081623600418213,0.0,-0.43582274574100593,0.0,-1.1683071261780797,0.0,-0.4539936928942427,0.0,-0.645648579617232,0.0,-0.6139956534212841,0.0,0.27597130874220605,0.002241,0.08354468102847945,0.869819,0.012572388093592811,0.132304,-1.0489445846540424,0.0,-1.1798850360377324,0.0,0.21868662573166145,0.004069,-0.42192199850112433,0.0,-0.299590493261492,0.00241,0.7812176413172813,0.0,0.14665007298783958,0.420233,-0.4436556831632212,0.0,0.9139211550140296,0.0,-0.8010283837070443,0.0,-0.4924575781546844,0.0,-2.5193635318945553,0.0,-0.01330527670528401,0.926643,1.5547377391343722,0.0,-0.32255331246075164,2.7e-05,-0.5679397800298743,0.0,-1.2782842181706404,0.0,-0.23799709719031079,0.396255,-1.070141347912832,0.0,-1.0761489714295422,0.0,-0.3664650047469447,0.0,-0.12780891256569224,0.816364,0.2874166177023815,0.146554,0.18219428101489535,0.0,0.24123923988728876,0.0,-0.7106332842038688,0.0,-0.27934282867730453,0.0,-0.4921775333955218,0.0,-0.6746846570796099,0.0,-1.540721373018708,0.0,-0.8084237769026028,0.0,-0.164354302431033,0.151228,-0.3316558302819999,0.0,0.22837415725946744,0.0,0.09690539818769932,0.109209,1.0814098996423502,0.0,0.7646221838009891,0.0,0.5054917245730584,0.0,-0.18226870965477088,0.000305,-0.2845992055498917,1e-06,-0.6793648957671867,0.0,-0.05533462031605286,0.065688,0.05425938194438364,0.535977,-0.1180337141739993,0.108589,0.6482014115934933,0.0,0.04654139052144549,0.537884,-0.12201929283857547,0.60915,0.0058991302862566606,0.292157,0.24480579959980456,7.9e-05,1.0639005195553155,0.0,0.10127544089862794,0.503306,-0.5121499633740989,0.0,-1.2122629709336499,0.0,-0.5169275495315165,0.0,-0.11373353840192232,0.423039,-0.03901450194002116,0.00611,-0.21235255369575773,0.0,-0.04719164606406611,0.637211,0.004424253615240789,0.852385,-0.6843926364080688,0.0,-0.9012075616779499,0.0,-0.3383170603367636,0.0,0.5517258597487498,0.0,-0.34852433513029024,0.0,-0.08191425965942936,0.61049,0.6527480803613169,0.0,-0.10120002313662292,0.375907,1.4399408860161993,0.0,0.08750025729097241,0.402824,-0.7810840452525326,0.0,0.6918523068443264,0.0,-0.27935156171490216,0.022742,-0.10746232268041456,0.000376,-0.3320925366568935,0.0,-0.5044441505882585,0.0,0.3721556205191881,0.0,0.24283600823510196,0.227934,-0.3632019325401558,1.5e-05,-0.09727610352192861,0.622211,-0.7558526469665833,0.0,-1.2473216344286668,0.0,1.2551802142888668,0.0,0.3978573633147101,0.0,0.574848886180864,0.0,-1.1357059383271069,0.0,0.2559567399984431,0.0,-0.0064085570856192535,0.014448,1.0084149793860253,0.0,0.3984196665852972,1e-06,0.1712549589563987,0.000714,1.2530093108125322,0.0,0.43305259039942684,0.741513,-0.015309252336392649,0.08097,1.0838330425391824,0.0,-0.31191534000395227,0.000617,1.5583915735146003,0.0,0.9485193491801034,0.0,1.2828765203796932,0.0,0.34952616900166145,0.0,-0.2885124670988654,0.0,-0.13803743320024925,0.058502,0.5561031941970552,0.0,0.5790364385987482,5e-06
a2,-0.11850580270361706,0.0,-0.20038050335550775,0.0,-0.15319244989647418,0.0,-0.12832316636551733,0.0,-0.18497922288113647,0.0,-0.055655278379247095,0.0,-0.09180928394095635,0.0,-0.14960785216167102,0.0,-0.07293565139697228,0.0,-0.05485765221805561,0.0,-0.2087614945439771,0.0,-0.15352415782982826,0.0,-0.11484873274978898,0.0,-0.11737877039508442,0.0,-0.1561097992778688,0.0,-0.17777360611681675,0.0,-0.13860792298960536,0.0,-0.10864791803193456,0.0,-0.149480448646131,0.0,-0.06333746468540051,0.0,-0.056985646797133804,0.0,-0.1031022065802217,0.0,-0.010978033982343795,0.02496,-0.29977950484258153,0.0,-0.0838788034821083,0.0,0.08627237539280148,0.0,-0.1428094586316231,0.0,-0.05372465993029659,0.0,-0.06505127062966178,0.0,-0.28917122496229813,0.0,-0.1096039761159134,0.0,-0.13094390446898382,0.0,-0.13603397709684997,0.0,-0.022062773516170402,0.036557,-0.029419115373765854,0.0,-0.26224195032643266,0.0,-0.07156713248101888,0.0,-0.04359321042235683,0.0,-0.17231786420921028,0.0,-0.12257559483535699,0.0,-0.001318032454609854,1e-06,-0.11281261513834126,0.0,-0.0666236102105092,0.0,-0.007966747581073916,0.336789,-0.24576901491679717,0.0,-0.12616785641244224,0.0,0.002065414582819769,0.620013,-0.039137637911132984,0.0,-0.2712110446227507,0.0,-0.17336034974694758,0.0,-0.07905086749266921,0.0,-0.23708847546348324,0.0,0.020702580769800073,0.000891,-0.09347524763977486,0.0,-0.13634280013387673,0.0,-0.15944966161746693,0.0,-0.1300199391178618,0.0,-0.10682137971964664,0.0,-0.06990939168403082,0.0,-0.15684687713600684,0.0,-0.15004440465386717,0.0,-0.04876346765396046,0.0,-0.14884652681592506,0.0,0.0059418193257147825,0.016638,0.0184764300586497,0.024647,-0.0642414069585366,0.0,-0.012129522581999822,0.000317,-0.07603295201580383,0.0,-0.07926128831193091,0.0,-0.1563937464000007,0.0,-0.15252753946862474,0.0,-0.049479485118279126,0.0,0.007701748691577419,0.064207,-0.0965813284942992,0.0,0.09336123979793147,0.0,-0.11855464946513937,0.0,-0.1406601146554774,0.0,-0.19603318590997018,0.0,-0.0712888543825649,0.0,-0.19670735978949055,0.0,-0.26713529171794487,0.0,-0.0664474655912017,0.0,-0.02121863480876868,0.0,0.026582315485895208,4.3e-05,-0.05147057635900006,0.001856,-0.09251462849449933,0.0,-0.06912085364662619,0.0,-0.12374870408788936,0.0,-0.21051439966712734,0.0,-0.22348490513038333,0.0,-0.06992537518766061,0.000103,-0.10116206411900212,0.0,0.0820612437091879,0.0,0.06293522889455783,3.8e-05,-0.06684374788220199,0.003655,-0.01653460111049447,0.908094,-0.039538591541837864,3e-06,-0.11619892911545202,0.0,-0.1858215539758573,0.0,-0.0309263555587361,0.194806,-0.07018850960988897,0.0,-0.10200373572306451,0.0,-0.13923634643038474,0.0,-0.13258018696887516,0.0,0.012994327665875315,0.113965,-0.010257792347545454,0.053875,-0.045937307296494014,0.71147,-0.08004925193982108,0.0,0.12026842237376588,0.0,-0.13800503750615267,0.0,-0.16876965595777949,0.0,-0.20169337271165325,0.0,-0.09178579973328829,0.0,-0.0659128888294884,0.0,-0.1943057327086385,0.0,-0.004439480173192224,1e-06,-0.05520668682500201,0.000176,0.07231855153421268,3.9e-05,-0.0713889106297096,0.0,0.01529913543337668,1.6e-05,0.16778558746364353,0.0,-0.03451631735747191,0.0362,-0.027465626143187805,0.122489,-0.029681478385341166,0.116264,-0.024506593193800413,0.880189
a3,-0.008962128850514381,0.0,0.0009181837093342224,0.003314,0.05419678567204736,0.0,-0.012300658221137812,0.000456,0.0015488971367159992,0.042479,-0.025402380674718103,2e-06,0.033944876971813386,0.0,-0.03813041909582327,0.668037,-0.015140217703489956,0.0,0.025717890292252507,0.0,-0.04801069630648521,0.00286,0.016521420894225092,0.0,0.016633813695320503,0.0,-0.01524524765472109,0.0,-0.033621303771405105,0.344734,-0.028755245323779384,0.049797,0.039892360649166486,6e-06,0.028967251941116046,0.0,-0.01782816624624964,0.000122,0.037223640953282795,0.004519,0.015413480883620987,0.492518,0.01987780658160371,0.0,-0.10026502973367372,0.0,-0.09823860250687978,0.825372,-0.0019624727580839327,0.029496,-0.02518498001323396,0.077369,-0.002783218418346072,0.648773,-0.05644787695331519,0.0,0.019709040868087984,5e-06,-0.09912265348541542,1.2e-05,0.009570512756932242,0.002865,-0.0064130581356042415,3e-05,0.09489915005180358,0.0,-0.08535239797515155,0.60472,-0.005410354808630128,0.000905,0.05580403655181533,0.00572,0.006668912317411639,1e-05,0.008112852860041266,0.0,0.006638907637614288,0.0,-0.0980820071518201,0.0,0.021927892374035047,0.0,-0.048632079017594254,0.450702,-0.0813621951701704,0.0,-0.06460733952608885,0.0,0.09548883031376133,0.0,-0.04234593234475465,0.0,0.0013591511524590144,0.360785,-0.0044575596939531534,7.5e-05,0.022904808202669814,0.0,0.01693752674772404,0.0,0.00464781035499168,0.0,-0.0916048351652209,0.192384,0.007089303779829635,1e-06,-0.06503251593676444,0.0,-0.0074074737742345536,0.000421,-0.0557540141321341,0.0,-0.0233374866432635,0.0,0.02232968669016089,0.0,-0.015412939633631755,0.0,-0.000988546480534864,0.000194,-0.018602208212594888,0.001299,0.02416190831084087,0.0,-0.032176715347731095,0.004705,-0.035402081012901127,0.0,0.001042473590270331,0.704389,-0.06126899702002123,0.0,0.023028964145830312,0.042088,0.008730777129107178,0.020923,-0.031794058270327524,0.0,-0.006833833109207943,0.061224,-0.0024276416240902213,0.005396,-0.0006305436553289193,0.0,0.02263400947770919,2e-06,-0.014075267572825829,0.802361,-0.021360552298593728,0.011513,-0.014262368470362446,0.021181,-0.031670059851904894,0.0,0.04938181699108596,0.0,0.012626553271419087,0.000397,0.012133005666660304,0.588333,-0.005304008835918,0.00027,0.01525254393650807,0.0,-0.007037940450446336,0.643259,0.05369724409740847,0.0,0.010037376786183154,0.509611,-0.03122323964856552,0.273422,-0.021437781638322682,8.2e-05,-0.03694228865609649,0.0,0.017348741711088283,0.004165,0.01789858692220189,0.0,0.022362305731072955,0.279668,-0.08163367673240675,0.050589,0.053666560815694035,0.000431,-0.03612702358889501,0.167169,0.06814775747490862,0.0,0.03195279672632703,9e-06,-0.019532086716560603,0.720487,-0.012333681923769097,0.0,0.06483979424731387,0.0,-0.046940119923313706,0.061523,-0.013915341872939826,0.94436,-0.026718014806809697,0.540624,-0.10350594445320581,0.964352,0.058877574125727666,0.466673,-0.006284639562551686,0.00036,-0.11070158600418536,0.0,-0.09852282529091014,0.0,-0.011015309961551914,0.0083,-0.007447147776335058,0.448389,0.05405293063348661,0.149351,0.029078672983448864,0.070201,0.027606396906645393,0.763774,0.023832007866820545,0.005208,0.12283141069297002,0.0,0.032985723467383335,0.217086,-0.05221902387839394,0.0,-0.02136920374315026,0.534846,0.08641124089023039,0.016288,0.03198887839660336,0.539472,-0.004503371247894847,0.0,-0.14242695753260878,0.0,0.01771488737973678,1.2e-05,-0.013127543763329533,0.82523,-0.030086840055695032,0.0,0.1457328306650199,0.0
MSE,0.01694173970935,,0.044094359026937986,,0.05331309433242667,,0.049498284400454035,,0.04455892426207087,,0.039444643768798165,,0.04502257638938258,,0.029021454965760182,,0.010473865549391644,,0.0342539059185399,,0.05056660956310729,,0.036791586363505435,,0.046997781212757606,,0.02812314548028902,,0.08382923625487043,,0.06281949689860207,,0.04569748206536756,,0.03515586879510794,,0.02136972053825605,,0.038490152689043725,,0.023399578103706378,,0.04950388491005442,,0.011836318668262992,,0.3880427357135309,,0.09848114888468318,,0.10714872951601831,,0.06856437105980549,,0.04668974887906599,,0.11128222840469676,,0.03184745314697268,,0.031457991278773696,,0.08057895935262332,,0.26714260366278647,,0.0982476973707115,,0.006443789615849633,,0.1503993241686736,,0.011670345799769073,,0.01918647991837492,,0.05990222680186103,,0.074035760934512,,0.09589561501607982,,0.14454399498525883,,0.0554262151057692,,0.05053655352212449,,0.1517874043820855,,0.03847879542276632,,0.00784918072011891,,0.04528638304107319,,0.1532279298715774,,0.18499714148831775,,0.0724936051675676,,0.08595765356124731,,0.08472670983692017,,0.03251107697209673,,0.049824969327405474,,0.0758465651425648,,0.040902738327454446,,0.017777919096766057,,0.070556222605688,,0.08993231116282362,,0.07079454719286332,,0.07399992302355177,,0.05889951847193554,,0.04096218362395492,,0.05498034816661402,,0.09267128992852185,,0.034986175369369175,,0.09773731031320533,,0.07517837052262934,,0.06495819679432245,,0.07342734862359229,,0.02640419747524914,,0.03351927161627897,,0.020629331526950304,,0.015002972613319785,,0.05660057612072063,,0.03828354636747625,,0.03196146413106632,,0.03868401017989842,,0.04763200637796898,,0.10477286576328312,,0.02577264370532033,,0.005675763774776511,,0.04148707096617461,,0.09540367016214873,,0.09581811318168466,,0.05914373187421923,,0.048442880496466605,,0.1911415226066626,,0.20074884576512983,,0.3328771663783382,,0.18152017663445263,,0.10680829982500564,,0.13200421240707552,,0.23331501779907177,,0.14590895507196294,,0.07564528301620091,,0.0488227928877977,,0.11860251458388467,,0.10931615054265997,,0.06960531849716377,,0.1176912006984726,,0.185691479899011,,0.07203209277456611,,0.06347532154434626,,0.10998675550987376,,0.05072791248020999,,0.07653963488070045,,0.07017801192444599,,0.07624330229543246,,0.08335039630564249,,0.18031173652852733,,0.1824286157818169,,0.27973448381762417,,0.10757290160850708,,0.05439442927821201,,0.10690279177295176,,0.23630913232858564,,0.13493758886235777,,0.04667244817553218,,0.028854188740093274,,0.12398369673317496,,0.12930316562782343,,0.09243344253686268,,0.05049282640035741,
