,1216 統一,1216 統一_p-value,1301 台塑,1301 台塑_p-value,1303 南亞,1303 南亞_p-value,1326 台化,1326 台化_p-value,1402 遠東新,1402 遠東新_p-value,2002 中鋼,2002 中鋼_p-value,2603 長榮,2603 長榮_p-value,2801 彰銀,2801 彰銀_p-value,2880 華南金,2880 華南金_p-value,2881 富邦金,2881 富邦金_p-value,2882 國泰金,2882 國泰金_p-value,2883 開發金,2883 開發金_p-value,2884 玉山金,2884 玉山金_p-value,2886 兆豐金,2886 兆豐金_p-value,2887 台新金,2887 台新金_p-value,2888 新光金,2888 新光金_p-value,2890 永豐金,2890 永豐金_p-value,2891 中信金,2891 中信金_p-value,2892 第一金,2892 第一金_p-value,9904 寶成,9904 寶成_p-value,6505 台塑化,6505 台塑化_p-value,2303 聯電,2303 聯電_p-value,2330 台積電,2330 台積電_p-value,2408 南亞科,2408 南亞科_p-value,2454 聯發科,2454 聯發科_p-value,3034 聯詠,3034 聯詠_p-value,2301 光寶科,2301 光寶科_p-value,2324 仁寶,2324 仁寶_p-value,2353 宏碁,2353 宏碁_p-value,2357 華碩,2357 華碩_p-value,2382 廣達,2382 廣達_p-value,2409 友達,2409 友達_p-value,2475 華映,2475 華映_p-value,3008 大立光,3008 大立光_p-value,2412 中華電,2412 中華電_p-value,2498 宏達電,2498 宏達電_p-value,3045 台灣大,3045 台灣大_p-value,4904 遠傳,4904 遠傳_p-value,2308 台達電,2308 台達電_p-value,2317 鴻海,2317 鴻海_p-value,2354 鴻準,2354 鴻準_p-value,2474 可成,2474 可成_p-value,1101 台泥,1101 台泥_p-value,1102 亞泥,1102 亞泥_p-value,1314 中石化,1314 中石化_p-value,1434 福懋,1434 福懋_p-value,1503 士電,1503 士電_p-value,1504 東元,1504 東元_p-value,1560 中砂,1560 中砂_p-value,2371 大同,2371 大同_p-value,6605 帝寶,6605 帝寶_p-value,1605 華新,1605 華新_p-value,1802 台玻,1802 台玻_p-value,1907 永豐餘,1907 永豐餘_p-value,2006 東和鋼鐵,2006 東和鋼鐵_p-value,2014 中鴻,2014 中鴻_p-value,2015 豐興,2015 豐興_p-value,2023 燁輝,2023 燁輝_p-value,2105 正新,2105 正新_p-value,2201 裕隆,2201 裕隆_p-value,2204 中華,2204 中華_p-value,2207 和泰車,2207 和泰車_p-value,2501 國建,2501 國建_p-value,2504 國產,2504 國產_p-value,2605 新興,2605 新興_p-value,2606 裕民,2606 裕民_p-value,2607 榮運,2607 榮運_p-value,2609 陽明,2609 陽明_p-value,2610 華航,2610 華航_p-value,2615 萬海,2615 萬海_p-value,2618 長榮航,2618 長榮航_p-value,2707 晶華,2707 晶華_p-value,2820 華票,2820 華票_p-value,2834 臺企銀,2834 臺企銀_p-value,2838 聯邦銀,2838 聯邦銀_p-value,2845 遠東銀,2845 遠東銀_p-value,2855 統一證,2855 統一證_p-value,2885 元大金,2885 元大金_p-value,2889 國票金,2889 國票金_p-value,6005 群益證,6005 群益證_p-value,2903 遠百,2903 遠百_p-value,2912 統一超,2912 統一超_p-value,9917 中保,9917 中保_p-value,9921 巨大,9921 巨大_p-value,9945 潤泰新,9945 潤泰新_p-value,1710 東聯,1710 東聯_p-value,1717 長興,1717 長興_p-value,1722 台肥,1722 台肥_p-value,1736 喬山,1736 喬山_p-value,2337 旺宏,2337 旺宏_p-value,2342 茂矽,2342 茂矽_p-value,2344 華邦電,2344 華邦電_p-value,2363 矽統,2363 矽統_p-value,2379 瑞昱,2379 瑞昱_p-value,2388 威盛,2388 威盛_p-value,2401 凌陽,2401 凌陽_p-value,2449 京元電子,2449 京元電子_p-value,2451 創見,2451 創見_p-value,3035 智原,3035 智原_p-value,3189 景碩,3189 景碩_p-value,6239 力成,6239 力成_p-value,2331 精英,2331 精英_p-value,2352 佳世達,2352 佳世達_p-value,2356 英業達,2356 英業達_p-value,2376 技嘉,2376 技嘉_p-value,2377 微星,2377 微星_p-value,2395 研華,2395 研華_p-value,3231 緯創,3231 緯創_p-value,2323 中環,2323 中環_p-value,2349 錸德,2349 錸德_p-value,2393 億光,2393 億光_p-value,2448 晶電,2448 晶電_p-value,3019 亞光,3019 亞光_p-value,6116 彩晶,6116 彩晶_p-value,2332 友訊,2332 友訊_p-value,3311 閎暉,3311 閎暉_p-value,2313 華通,2313 華通_p-value,2327 國巨,2327 國巨_p-value,2328 廣宇,2328 廣宇_p-value,2385 群光,2385 群光_p-value,2392 正崴,2392 正崴_p-value,3037 欣興,3037 欣興_p-value,3044 健鼎,3044 健鼎_p-value,2347 聯強,2347 聯強_p-value,2312 金寶,2312 金寶_p-value
a0,0.217819848872222,,0.16347120945715768,,0.20396077898862336,,0.21288528446585042,,0.07990049781896479,,0.07151673022879507,,0.1025377075137851,,0.11290339201114813,,0.10837147127083027,,0.16891445153135973,,0.1547685793479796,,0.17196954140167997,,0.15689765972243652,,0.08913265406221305,,0.11058231644679832,,0.10460958920238718,,0.10126663045254936,,0.16447646189861198,,0.12728195980536972,,0.04235315334104763,,0.09411875317866764,,0.029887075769695105,,0.2363330853975933,,0.005576598098989388,,0.09361302674515139,,0.16505103070995952,,0.13117578135768598,,-0.06727417959455814,,-0.012757636493052338,,0.05843080653108004,,-0.0156169503264523,,0.015493374495603993,,0.016442099716183184,,0.5341054376632777,,0.09192811383327104,,-0.10890459403908102,,0.13016294337965828,,0.1197760518447436,,0.21251053614252713,,0.09430424608321819,,0.1450230489978614,,0.3487624416786276,,0.13806628148819466,,0.08283067231724806,,0.08468135900035417,,0.06491907664074105,,0.04598605244681722,,0.21388379389256276,,0.0848750200252335,,-0.017524700054824382,,0.09817088010935768,,0.2920006531255919,,0.08438757028923362,,0.048397806640858715,,0.06417186656986079,,-0.11655438663124588,,0.0885200707642083,,-0.04830939481459923,,0.00038175692576897235,,-0.07901776688204923,,0.0128915043301949,,0.06880822464020238,,0.12751247344325148,,0.004939125297502279,,0.044127771462084825,,0.07882517491399395,,-0.05684673199491007,,-0.0365019661746735,,0.07219021122935294,,0.053142865421412194,,0.05497759955857719,,-0.06721958371453392,,0.10968099023349925,,0.04819483459970393,,0.10984290634374666,,0.054653485436844576,,0.08279238728163604,,0.0674177777068125,,0.09086253013078886,,0.051455039390121714,,0.1262481044599576,,0.25379451545179277,,0.12356553813940324,,0.146239189339718,,0.06271334339761236,,0.1755868471859849,,0.09674762971974551,,-0.0593789848888796,,-0.09375954306764114,,-0.09860533415702433,,-0.26383219732320096,,0.20803221536841446,,-0.18932579261594856,,0.120848426794071,,0.03535982607376231,,0.05282342110631724,,0.14141350810831638,,0.027826026530197105,,0.06062211555197891,,0.07740767638744202,,0.12722395543042544,,0.18453992526240864,,0.20416007490190335,,-0.008154099903454518,,0.11277515053656274,,0.1777115155152042,,0.21858952053637146,,0.030547144351261865,,-0.13578364155802763,,-0.10710915195477336,,-0.038391495852905876,,-0.08076152984226989,,-0.05324731775154042,,0.0926511252731187,,-0.0067458847296627475,,-0.1831507463175308,,0.23146297971117552,,-0.015163368458051052,,-0.1464232875167274,,-0.0046706887444594725,,-0.0019761527318180178,,0.008894327939298924,,0.1330524368620461,,-0.007853393001519271,,0.08719721817206283,
a1,-0.80406971194084,0.0,-0.7941739960981151,6.5e-05,-1.629534400357422,0.0,-1.3789625335844216,0.0,-0.09110441538734354,0.291433,-0.4273133368001276,9.8e-05,-0.9366981429677462,0.0,-1.236741958181271,0.0,-1.2243110873961558,0.0,-1.0048362709279062,0.0,-1.6227548437148214,0.0,-2.1227761449753926,0.0,-1.3171704344028308,0.0,-0.5499828884708587,0.0,-1.1080454570114577,0.0,-1.7091835285472745,0.0,-1.182882449292725,0.0,-1.3091929782177398,0.0,-1.0342180883249907,0.0,0.5018921094012113,3e-06,0.17457777211055475,0.897877,-0.2713885360860819,0.005768,-1.5905707560696418,0.0,-0.9544012157993761,0.0,-0.47694019955849565,0.00032,-1.0154432958102066,0.0,-1.5462523128684533,0.0,1.2710408430181535,0.0,-0.3651534831963135,0.067088,-0.07479633695209419,0.368811,1.3580582960537209,0.0,-1.0146366725267988,0.0,-1.3949916215425946,0.0,-3.19774617497114,0.0,0.2587700494808824,0.1831,-0.10182145255745248,0.373872,0.14397535053588753,0.167065,-0.28141370689958267,0.000439,-1.7927421270389534,0.0,-0.5413506092058891,0.000647,-1.5743168559462635,0.0,-2.229589821230122,0.0,-0.6461283588752045,0.0,0.09394624098874074,0.409143,-0.1069151671162186,0.802947,0.5543561814891466,8e-06,0.23449978648715933,1.1e-05,-1.8269538473230098,0.0,-0.7161492067322954,0.0,0.26698523258688867,0.928768,-0.9456055297016873,0.0,-2.445864851806278,0.0,-0.9753727000669081,0.0,-0.15925767191844836,0.458943,-0.23497890328627552,0.003065,1.0925843568934703,0.0,0.12409567382328344,0.027636,1.4546231479335074,0.0,2.2577625914407644,0.0,0.7079423067621167,0.0,0.2816666497405587,0.079817,1.0902362917938277,0.0,-1.3082097811559246,0.0,-0.05385911265269365,0.33005,-0.38602956865640553,0.000379,-0.35022897647345136,0.319366,0.8956523724323324,0.0,-0.3627372522976452,0.000685,-1.37126548484903,0.0,-0.2039409339342443,0.431891,-0.695937122772728,0.0,1.2465802314848935,0.0,-0.06313573219839357,0.293651,-0.6548987960125783,0.0,-1.7545020800849074,0.0,-0.8782765702552597,0.0,-0.38087618961791425,0.0,-0.29659496358444154,0.001255,-0.4203148599999694,1e-06,-0.2207888509061331,0.006869,-0.34309536373284505,0.0,-1.7604724542186094,0.0,-0.8138764245700845,0.0,-0.056941239672246874,0.261169,0.8359865738642548,0.000449,-0.584246903915096,0.0,-0.910197897285926,0.0,0.9171575302264079,0.0,0.31511214265343374,0.014275,1.717621565947402,0.0,0.7528844965647702,0.001504,-1.4083838978243637,0.0,1.0880210646576114,0.0,-0.1811673097780394,0.149128,-1.127309564061982,0.0,-1.0496659911488173,0.0,-1.0742643155294047,0.0,0.5896045005761553,0.0,-0.09940766404156604,0.005339,-0.5765310867670538,0.0,-0.6646856437479771,0.0,-1.565198592518245,0.0,-1.8758968098631361,0.0,1.0060210369817124,0.0,0.31022572380992447,0.005113,-0.19103871907337996,0.005576,-1.1788636270843615,0.0,0.14193055947807035,0.125668,0.902299206445117,0.0,0.8138538468116147,0.0,0.4290706968148988,0.101922,0.27130526326381565,0.044931,0.2582645358276574,0.002749,-0.4895269508467515,0.0,-0.48758834221585534,0.003469,0.8145774791473176,2e-06,-1.2460885296801605,0.0,2.7869634703735615,0.0,0.9543054362199792,0.0,1.9799135438159248,0.0,-0.32714241166987174,1.8e-05,-0.5457489922673643,0.006292,-1.0236857752476551,0.0,1.5729521861073212,0.0,-0.7265878523487359,0.0
a2,-0.06335283769217513,0.0,-0.06396812933238977,0.0,-0.04368707948660967,3e-06,-0.016508879444787912,0.095598,-0.031109261362862444,0.002171,-0.06766553578377751,0.0,-0.04434903478182354,2.5e-05,-0.061120365360863925,0.0,-0.04154512023937143,0.0,-0.009204954143991547,0.413844,-0.04733398478971656,4.4e-05,-0.019576744725630348,0.769003,-0.0014597985955546089,0.91773,-0.0003660473817039297,0.926845,0.02907964013686764,0.012176,-0.05819780589361229,0.0,-0.04351826154495943,3e-06,-0.036024811271441824,0.002355,-0.039858143486995935,0.0,-0.015335203739290464,0.011466,0.054232991788507816,0.0,-0.046162754874424915,0.0,0.03932101599696288,0.0,-0.2768286093241558,0.0,-0.0061673930914109155,0.715574,-0.005428265675834436,0.056562,-0.03506399177816235,0.017651,-0.023753669379033563,0.001443,0.021286744698393433,0.250978,-0.07457897424409181,0.0,0.06734021349790432,0.0,-0.11307081436241014,0.0,-0.032893530205953744,0.037642,0.10357803928186808,0.0,0.02221034357668811,0.0,-0.08690306973744558,0.0,-0.01774038163229721,0.000134,-0.0046617800616899924,0.633717,-0.07157562943242157,0.0,-0.11485609103175161,0.0,-0.03584932087874071,0.305021,-0.030023927739442003,0.2273,-0.049187081338646764,4.6e-05,0.0379540899227789,0.000264,-0.16321942554218283,0.0,-0.046709852872376195,0.0,-0.009361625511761963,0.000284,-0.03488580444778786,0.002708,-0.19327263957506746,0.0,-0.05381214017168061,2.4e-05,-0.10011870828672133,0.0,-0.08821423585644747,0.0,-0.05434912478614234,9e-06,-0.03286334652528515,1e-06,-0.05771840366072163,0.0,-0.08815182767139182,0.0,-0.0391693402224191,7e-06,-0.05545931145558055,0.0,-0.035804972365131776,0.00276,-0.06881782093971943,0.0,-0.10826389959891419,0.0,-0.0037787579028797907,0.404336,-0.05470689611212387,0.0,-0.010285964207255976,0.203126,-0.012100137582731312,0.130038,-0.07741112510463564,0.0,-0.015437998008965,0.025178,-0.013200936671970859,0.167791,-0.057747020495212756,0.0,-0.08034489507657312,0.0,-0.12598008791015716,0.0,-0.04430749890291891,0.0,-0.019592859133777098,0.013136,-0.010451470218438123,0.200917,0.0596865202982194,0.0,0.055449984680115236,0.0,-0.052017820193065084,0.0,-0.09592565318756975,0.0,-0.05230115377733724,0.0,-0.07875567144890094,0.0,-0.036237457442247795,0.039077,-0.020556153214094,0.616724,0.00785784411977449,0.000937,0.026380937062946305,0.000911,-0.04802578088100237,6.4e-05,-0.09333001825806903,0.0,-0.022052559759576363,0.003398,-0.03809038499754078,5.8e-05,-0.12549491110182018,0.0,-0.1524246240683687,0.0,-0.09181838314905326,0.003798,-0.04806364330099437,0.00852,-0.05061285729472178,0.000314,0.019581606806827086,0.15384,-0.10749439253796873,0.0,-0.1118223951035335,0.0,-0.027932246773950384,0.000242,-0.06509494413138235,0.0,-0.0872229295879659,0.0,0.0034131454489815566,0.779445,0.02007632651571678,0.020613,-0.15507723368387175,0.0,-0.1164684777349594,0.0,-0.12935303815434354,0.0,-0.002651187630420793,0.608061,-0.08200247258562607,5.5e-05,-0.024635229191162705,0.097572,0.04259793981306658,0.000919,0.10227781617809716,0.0,-0.14832974898822907,0.0,-0.09606367401021754,0.0,-0.10585718539277292,0.0,-0.08985831175885935,0.0,0.015699418404172858,0.207806,-0.05862621070833475,2e-06,-0.031900706883829635,0.000347,-0.10188715260461684,0.0,-0.07328940965313668,6.5e-05,-0.05035952493984709,9e-05,0.05700550540368713,1e-06,-0.03794012104962727,1e-06,-0.01851411287592932,0.184645,-0.008748284463771995,0.407016,-0.12120138220751787,0.0,-0.008238229469572755,0.598098
a3,0.018463551408676004,0.0,-0.025291989930898966,0.000399,-0.014896382313677127,0.466501,-0.0030185366626303157,0.135923,0.002523360656536126,0.745222,0.007074551932255494,0.004591,0.03554217426793922,0.0,-0.025250622070959503,0.225706,-0.022192786973169648,2.5e-05,-0.012307113519122755,0.878309,-0.025418239209359577,0.767768,-0.027496778326154273,0.053935,-0.0184827601274924,0.593184,-0.02144407220592389,0.012736,-0.03810693471518049,0.018957,0.02627379445179074,0.0,-0.021065078628901647,0.153476,-0.012836780295944953,0.409395,-0.004049864021170217,0.063008,-0.016098987510842235,8e-06,0.027999290034503247,0.0,0.008556288795023697,0.02456,-0.021122083030123005,1e-06,0.007816115053120985,0.297329,0.006465755465566567,0.042179,0.0302641623668066,0.0,-0.04098346533656922,0.021437,0.02761484582954671,0.748503,-0.020465139018007266,0.078492,-0.0037990438399304136,0.512315,0.025647860028631737,0.175224,-0.010742639216481413,0.033137,-0.012705747196963473,0.000798,-0.01914673039414788,1e-06,0.005483515408443116,0.028182,0.00874838758181015,0.108233,0.0010148323578710334,0.854017,0.014993387345585984,1e-06,-0.0026277362884321205,0.011379,-0.008538276623321782,0.638989,0.005174182999786028,1.4e-05,-0.013892701498591608,0.000617,-0.019182135555562883,0.648628,-0.011975622563521441,0.138941,-0.01367340893343957,0.447962,-0.005732113664488931,0.013256,0.0013738952562197511,0.292234,-0.03594628222371011,0.247519,0.011415704632491823,0.000244,0.04478654980958153,2e-06,-0.004091547567548661,0.964144,-0.008653432201070725,0.037679,-0.031585762363741034,0.327422,-0.009297804160506528,0.056348,0.009358109540166021,0.014536,0.008116610611259753,0.890568,-0.027395188839664856,1e-06,0.013281226943818324,0.122359,0.02763539691993741,0.346696,0.01867612380375838,0.144623,0.026238398340447514,0.0,0.0022950965117904637,0.051029,-0.032501596290324654,0.171579,0.0040810102873638995,0.302262,-0.004708759808923379,0.615727,-0.032865257750176964,0.0,0.02322675545437018,0.027644,0.01654553590091728,0.002074,0.0005367615684912396,0.007845,-0.017804382958215837,0.012846,0.009742832757443972,3.6e-05,0.01093534241042394,0.015376,0.007268697987072241,0.069694,-0.028809607204947286,2e-06,0.010619446267063544,0.0,-0.026662226174177354,0.318863,0.005281672903605551,0.178566,0.005245209850329931,0.038364,0.011643467883019527,0.000756,-0.0076485033157800185,0.22387,0.07009177152569547,0.0,-0.033732615740274495,0.0,-0.007734793997695765,2e-06,0.012879142797990809,0.011661,0.08016172807671187,0.0,0.03417690655085399,1e-05,-0.025126575150208396,0.039072,0.011831386771863999,0.977277,0.008394889852227798,0.984154,0.01385149594522389,0.001328,0.09521453309423936,0.0,-0.05952182249469924,0.000433,0.06181735693940524,6.3e-05,0.0032306777354540735,0.418732,-0.026133362908669928,0.474897,0.01236367526150465,0.00641,-0.013985462383921754,0.804838,-0.0020367021811153706,0.030187,0.04338247747965498,0.0,0.03326865625742806,1e-06,0.0010244490633746473,0.127513,-0.04986882163394083,0.201771,-0.02495858933319038,0.030634,-0.022824235652848194,0.0,-0.0006704571595693554,0.381337,-0.0920609971045491,0.0,-0.0017320553847387898,0.153284,-0.013958629820678302,0.128986,0.03489126228690779,2e-06,0.02777286968926798,0.921739,0.034744248299082,0.045542,0.01070084046098267,0.647066,-0.013774030946769454,0.001614,0.051430697909583885,0.0,-0.00905713453731452,0.786384,0.0462885512763221,2.4e-05,-0.013132696950988038,0.280165,0.10089084736576058,0.001593,0.03067298984696697,0.510546,0.015356252457138885,0.140582,0.019020574465077367,1e-06,-0.027040802697049216,0.097639,-0.03581034905358843,0.008205,0.06268439722031494,0.0,0.04276579913937157,0.0
MSE,0.026955379458951878,,0.06139536205188291,,0.07254891278762675,,0.06549535968564926,,0.07476122263531447,,0.053790523575783324,,0.0669626710820405,,0.04282947157021825,,0.017377061691371404,,0.049347228063387025,,0.07808910283769077,,0.05545764076548203,,0.06451091229383775,,0.045970462643555234,,0.11344020669511373,,0.09048992743060628,,0.06422963753094714,,0.054920646973715494,,0.0415330525355488,,0.05302172825771211,,0.02876615672563405,,0.06653996363265682,,0.018041609882153784,,0.46769971081357264,,0.1232521444551611,,0.13359405234328006,,0.08547343864571581,,0.0695779005295765,,0.1363581636784182,,0.06940136642691963,,0.04625704816895084,,0.10790691765376408,,0.33391296675097426,,0.1335430899105522,,0.00827087862227367,,0.23255449706060982,,0.01658003616344469,,0.023729182421539534,,0.08760636534540685,,0.10518946563908445,,0.13087435460882949,,0.16351240954307047,,0.08488941386081549,,0.07267306893107935,,0.19182708810498222,,0.05938878820198217,,0.013497739262165277,,0.06048567045441006,,0.1988713000397546,,0.24838958029285402,,0.09203311131156021,,0.11956328865735054,,0.10425091978151113,,0.046378435302290515,,0.08345658008165709,,0.10545211183265295,,0.06755314443081524,,0.02992187604530894,,0.09135066672705741,,0.12722431955221006,,0.09281701036914267,,0.09013550493660541,,0.09022392669860359,,0.06810624204916804,,0.07747038042150337,,0.12181595685627936,,0.05203367416480104,,0.12449833420059288,,0.09145856544421842,,0.08983678864026956,,0.09294470462943534,,0.04759308190355574,,0.04634056180369416,,0.03252265950047521,,0.020550804163901884,,0.07453864229939279,,0.06355239258447269,,0.05571143712180194,,0.05475980225187232,,0.08132642018088222,,0.16097878701693868,,0.03121993411484184,,0.008528272095932274,,0.05077971044087145,,0.13106137770490936,,0.12255492410867715,,0.07338393347331584,,0.08538396441403334,,0.23023100231565785,,0.29406173647291695,,0.4456641445209272,,0.22079252376444264,,0.14491503153567903,,0.1767939901487676,,0.3228339412569456,,0.17034838187256363,,0.09278083488098683,,0.07872033186693041,,0.17693721295294412,,0.1442282556926724,,0.08986967590593936,,0.141896345027595,,0.2553723530484453,,0.10920265216120338,,0.08921606971895674,,0.14380554349197655,,0.06379086260982574,,0.10774891136334634,,0.09569175176035295,,0.1238851265475818,,0.11697993416855568,,0.24103761736677537,,0.2350975470524638,,0.3555369426694485,,0.15021558031062313,,0.08124513732771269,,0.13872796579249908,,0.283009384960633,,0.20054819902892798,,0.07153358088083976,,0.05773415370803983,,0.1543572384429301,,0.15276606541840046,,0.11204594762855813,,0.07086333514315059,
